CourseTitle ,Term ,Faculty ,CourseSection ,Area ,Campus ,Meeting Pattern ,Class ,InstructorOverall ,Learning ,Difficulty ,Global ,Examples ,Workload ,Total Responses ,Number of enrollees
Family Enterprises: Success & Continuity ,Spring 2016 ,"Craig, Justin" ,STRTX-455-0 (MW1) ,STRTX ,Off Campus ,TBA  ,5.3 ,5.4 ,5.4 ,5.3 ,5.3 ,5.5 ,3.4 ,18 ,33
Cross-Cultural Negotiation ,Spring 2016 ,"Cohen-Chen, Smadar" ,MORS-474-0 (71) ,MORS ,Chicago ,Thu 6:00PM - 9:00PM ,5.3 ,5.1 ,5.6 ,5.1 ,5.8 ,4.9 ,2.6 ,11 ,15
Ethics & Executive Leadership ,Spring 2016 ,"Austen-Smith, David" ,KPPIX-472-0 (101) ,KPPIX ,Off Campus ,TBA  ,5.3 ,5.0 ,5.5 ,5.5 ,5.8 ,5.8 ,3.0 ,4 ,25
Marketing Consulting Laboratory: Generating Profitable Growth ,Spring 2016 ,"Hennessy, Julie" ,MKTG-950-0 (61) ,MKTG ,Evanston ,Mon/Thu 3:30PM - 5:00PM ,5.2 ,5.7 ,5.0 ,5.3 ,4.0 ,5.2 ,3.7 ,20 ,29
Micro-Organizational Research Methods ,Spring 2016 ,"Maner, Jon" ,MORS-426-1 (21) ,MORS ,Evanston ,Tue 1:00PM - 4:00PM ,5.2 ,5.7 ,5.3 ,5.3 ,4.4 ,4.5 ,2.5 ,6 ,14
Retail Analytics: Pricing & Promotion ,Spring 2016 ,"Anderson, Eric" ,MKTGX-462-0 (MW2) ,MKTGX ,Off Campus ,TBA  ,5.2 ,5.6 ,5.7 ,5.5 ,5.1 ,5.5 ,3.6 ,28 ,47
Advertising Strategy ,Spring 2016 ,"Rucker, Derek" ,MKTG-454-0 (62) ,MKTG ,Evanston ,Mon/Thu 3:30PM - 5:00PM ,5.2 ,5.6 ,5.4 ,4.9 ,4.9 ,5.7 ,2.8 ,50 ,60
Marketing Strategy for Growth and Defense ,Spring 2016 ,"Krishnamurthi, Lakshman" ,MKTG-466-0 (71) ,MKTG ,Chicago ,Tue 6:00PM - 9:00PM ,5.2 ,5.5 ,5.4 ,5.4 ,5.4 ,5.7 ,3.4 ,41 ,45
Ethics and Leadership ,Spring 2016 ,"Waytz, Adam" ,KPPI-460-0 (30) ,KPPI ,Chicago ,Thu 6:00PM - 9:00PM ,5.2 ,5.5 ,5.2 ,5.2 ,5.5 ,5.5 ,2.4 ,36 ,45
Managerial Leadership ,Spring 2016 ,"Kraemer, Harry" ,KACI-468-0 (70) ,KACI ,Chicago ,Wed 6:00PM - 9:00PM ,5.2 ,5.5 ,5.3 ,4.6 ,4.9 ,5.4 ,2.3 ,61 ,100
Leadership in Organizations ,Spring 2016 ,"Rivera, Lauren" ,MORS-430-0 (71) ,MORS ,Chicago ,Tue 6:00PM - 9:00PM ,5.2 ,5.5 ,5.4 ,4.9 ,4.7 ,5.4 ,2.6 ,57 ,60
Strategies for Growth ,Spring 2016 ,"Mazzeo, Michael" ,STRT-955-5 (80) ,STRT ,Evanston ,Fri 1:30PM - 4:30PM ,5.2 ,5.5 ,5.1 ,4.9 ,4.8 ,5.5 ,2.3 ,51 ,59
Operations Management ,Spring 2016 ,"Van Mieghem, Jan" ,OPNSX-430-0 (104) ,OPNSX ,Evanston ,TBA  ,5.2 ,5.5 ,5.4 ,5.4 ,5.3 ,5.3 ,3.1 ,41 ,65
Financial Decisions ,Spring 2016 ,"Iverson, Benjamin" ,FINC-442-0 (63) ,FINC ,Evanston ,Mon/Thu 3:30PM - 5:00PM ,5.2 ,5.5 ,5.5 ,5.7 ,4.8 ,5.3 ,4.5 ,45 ,49
Regulation of Competitive Strategies ,Spring 2016 ,"McCareins, Mark" ,BLAW-437-0 (81) ,BLAW ,Evanston ,Mon 6:30PM - 9:30PM ,5.2 ,5.4 ,5.2 ,5.0 ,4.3 ,5.5 ,2.5 ,26 ,30
The Chief Marketing Officer in the Digital Age ,Spring 2016 ,"Anderson, Eric" ,MKTGX-954-0 (104) ,MKTGX ,Evanston ,TBA  ,5.2 ,5.4 ,5.3 ,5.3 ,5.0 ,5.4 ,2.5 ,46 ,72
Negotiations Fundamentals ,Spring 2016 ,"Maner, Jon" ,MORS-472-5 (71) ,MORS ,Chicago ,Wed 6:00PM - 9:00PM ,5.2 ,5.3 ,5.6 ,5.1 ,4.2 ,4.9 ,2.6 ,33 ,36
Strategic Decisions in Operations ,Spring 2016 ,"Allon, Gad" ,OPNSX-454-0 (102) ,OPNSX ,Evanston ,TBA  ,5.2 ,5.3 ,5.4 ,5.3 ,5.3 ,5.3 ,2.8 ,46 ,52
Marketing Management ,Spring 2016 ,"Tybout, Alice" ,MKTGX-430-0 (107) ,MKTGX ,Off Campus ,TBA  ,5.2 ,5.2 ,5.5 ,5.3 ,5.3 ,5.5 ,3.7 ,26 ,48
Negotiations Fundamentals ,Spring 2016 ,"Maner, Jon" ,MORS-472-5 (72) ,MORS ,Chicago ,Wed 6:00PM - 9:00PM ,5.2 ,5.1 ,5.7 ,5.5 ,4.4 ,4.9 ,2.6 ,28 ,31
Business Strategy ,Spring 2016 ,"Moore, Michael" ,STRTM-431-0 (1) ,STRTM ,Chicago , ,5.2 ,5.1 ,5.2 ,5.3 ,5.1 ,5.4 ,4.4 ,18 ,65
Personal Leadership Insights ,Spring 2016 ,"Carroll, Shana" ,KACI-461-5 (64) ,KACI ,Evanston ,Thu 10:10AM - 12:00PM ,5.1 ,5.6 ,5.4 ,5.1 ,4.5 ,4.8 ,2.5 ,8 ,9
Family Enterprises: Success & Continuity ,Spring 2016 ,"Lansberg, Ivan" ,STRTX-455-0 (MW1) ,STRTX ,Off Campus ,TBA  ,5.1 ,5.5 ,5.3 ,5.2 ,5.3 ,5.4 ,3.4 ,20 ,33
Operations Management ,Spring 2016 ,"Bassamboo, Achal" ,OPNS-430-0 (62) ,OPNS ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,5.1 ,5.4 ,5.5 ,5.3 ,5.0 ,5.3 ,2.9 ,58 ,65
The Chief Marketing Officer in the Digital Age ,Spring 2016 ,"Anderson, Eric" ,MKTGX-954-0 (102) ,MKTGX ,Evanston ,TBA  ,5.1 ,5.4 ,5.6 ,5.5 ,4.9 ,5.4 ,2.3 ,41 ,59
The Education Industry ,Spring 2016 ,"Kothari, Pranav" ,KPPI-454-5 (81) ,KPPI ,Evanston ,Tue 6:30PM - 9:30PM ,5.1 ,5.4 ,5.1 ,5.2 ,4.4 ,5.0 ,2.2 ,26 ,31
Microeconomic Analysis ,Spring 2016 ,"Maruster, Sorin" ,MECN-430-0 (76) ,MECN ,Chicago ,Sat 9:00AM - 12:00PM ,5.1 ,5.4 ,5.3 ,5.5 ,5.1 ,5.3 ,3.0 ,22 ,40
Board Governance of Non-Profit Organizations ,Spring 2016 ,"Howard, Liz" ,KPPI-455-5 (31) ,KPPI ,Chicago ,Mon 6:00PM - 9:00PM ,5.1 ,5.3 ,5.3 ,4.9 ,4.6 ,5.6 ,2.7 ,14 ,16
Managerial Economics ,Spring 2016 ,"Schummer, James" ,MECNX-430-0 (106) ,MECNX ,Evanston ,TBA  ,5.1 ,5.3 ,5.4 ,5.4 ,5.3 ,5.3 ,3.6 ,42 ,63
Marketing Strategy for Growth and Defense ,Spring 2016 ,"Calkins, Timothy" ,MKTG-466-0 (62) ,MKTG ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,5.1 ,5.3 ,5.1 ,5.1 ,4.9 ,5.3 ,3.3 ,42 ,64
Marketing Research and Analytics ,Spring 2016 ,"Touré-Tillery, Rima" ,MKTG-450-0 (81) ,MKTG ,Evanston ,Wed 6:30PM - 9:30PM ,5.1 ,5.3 ,5.6 ,5.1 ,4.5 ,5.1 ,3.7 ,22 ,31
"Leadership: Power, Politics and Talk" ,Spring 2016 ,"Carroll, Shana" ,KACI-469-5 (80A) ,KACI ,Evanston ,Tue 1:45PM - 3:00PM ,5.1 ,5.3 ,5.2 ,5.0 ,4.2 ,4.9 ,2.6 ,12 ,14
Leader as Coach ,Spring 2016 ,"Ellington Booth, Brenda" ,KACI-462-0 (61) ,KACI ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,5.1 ,5.0 ,5.5 ,5.0 ,4.0 ,4.5 ,2.7 ,31 ,37
Personal Leadership Insights ,Spring 2016 ,"Ellington Booth, Brenda" ,KACI-461-5 (62) ,KACI ,Evanston ,Tue 10:10AM - 12:00PM ,5.1 ,4.9 ,5.1 ,5.0 ,4.8 ,4.9 ,2.3 ,10 ,10
Venture Lab ,Spring 2016 ,"Stowell, David" ,FINC-915-0 (61) ,FINC ,Evanston ,Wed 03/30/2016 |Wed 06/01/2016  ,5.1 ,4.8 ,5.3 ,5.1 ,4.8 ,5.1 ,5.0 ,13 ,33
Financial Decisions ,Spring 2016 ,"Thompson, Timothy" ,FINC-442-0 (61) ,FINC ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,5.1 ,4.4 ,5.6 ,5.6 ,4.9 ,5.4 ,4.6 ,7 ,15
Macroeconomics ,Spring 2016 ,"Eberly, Janice" ,MECNX-450-0 (103) ,MECNX ,Off Campus ,TBA  ,5.0 ,6.0 ,5.0 ,5.0 ,6.0 ,5.0 ,4.0 ,1 ,34
Strategic Challenges in Emerging Markets ,Spring 2016 ,"Perkins, Susan" ,STRT-466-0 (71) ,STRT ,Chicago ,Tue 6:00PM - 9:00PM ,5.0 ,6.0 ,5.0 ,5.0 ,5.0 ,5.0 ,2.0 ,1 ,4
Applied Real Estate Finance and Investments ,Spring 2016 ,"Furfine, Craig" ,FINC-455-0 (81) ,FINC ,Evanston ,Wed 6:30PM - 9:30PM ,5.0 ,5.6 ,5.6 ,5.8 ,4.9 ,5.3 ,4.9 ,34 ,36
"Entrepreneurship: Building Innovation, Teams, and Cultures" ,Spring 2016 ,"Achler, Mark" ,MORS-952-5 (71) ,MORS ,Chicago ,Wed 6:00PM - 9:00PM ,5.0 ,5.5 ,5.1 ,4.5 ,4.3 ,5.3 ,1.6 ,28 ,38
Leadership and Crisis Management ,Spring 2016 ,"Austen-Smith, David" ,KPPI-440-5 (72) ,KPPI ,Chicago ,Non-Standard Meetings ,5.0 ,5.5 ,5.2 ,5.1 ,5.4 ,5.1 ,2.8 ,10 ,17
Finance II ,Spring 2016 ,"Chopra, Navin" ,FINC-431-0 (71) ,FINC ,Chicago ,Mon 6:00PM - 9:00PM ,5.0 ,5.4 ,5.4 ,5.4 ,4.6 ,5.4 ,3.5 ,25 ,27
Investment Banking ,Spring 2016 ,"Stowell, David" ,FINC-461-0 (81) ,FINC ,Evanston ,Tue 6:30PM - 9:30PM ,5.0 ,5.3 ,5.1 ,5.2 ,4.8 ,5.5 ,2.9 ,15 ,17
Financial Decisions ,Spring 2016 ,"Fishman, Michael" ,FINC-442-0 (71) ,FINC ,Chicago ,Thu 6:00PM - 9:00PM ,5.0 ,5.3 ,5.3 ,5.6 ,4.8 ,5.3 ,3.4 ,18 ,25
Financial Decisions ,Spring 2016 ,"Iverson, Benjamin" ,FINC-442-0 (62) ,FINC ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,5.0 ,5.2 ,5.4 ,5.5 ,4.4 ,5.4 ,4.4 ,42 ,50
Law and the Corporate Manager ,Spring 2016 ,"Presser, Stephen" ,BLAWX-440-0 (105) ,BLAWX ,Off Campus ,TBA  ,5.0 ,5.2 ,5.1 ,5.4 ,4.4 ,5.1 ,3.0 ,21 ,41
Game Theory and Strategic Decisions ,Spring 2016 ,"Weber, Robert" ,DECS-452-0 (61) ,DECS ,Evanston ,Tue/Fri 3:30PM - 5:00PM ,5.0 ,5.2 ,5.4 ,5.7 ,4.7 ,5.0 ,2.8 ,20 ,56
Corporate Innovation and New Ventures ,Spring 2016 ,"Earle, Jr., Paul" ,KIEI-903-0 (30) ,KIEI ,Chicago ,Mon 6:00PM - 9:00PM ,5.0 ,5.2 ,5.2 ,5.2 ,4.7 ,5.5 ,3.8 ,24 ,30
Global Initiatives in Management (GIM) ,Spring 2016 ,"Lansberg-Rodriguez, Daniel" ,INTLM-473-0 (2) ,INTLM ,Chicago ,Tue/Thu 1:00PM - 4:00PM ,5.0 ,5.2 ,5.1 ,4.9 ,5.7 ,5.3 ,3.5 ,11 ,22
Persuasive Presentations ,Spring 2016 ,"Van Camp, Karen" ,KACI-450-0 (70) ,KACI ,Chicago ,Mon 6:00PM - 9:00PM ,5.0 ,5.2 ,5.3 ,4.4 ,4.2 ,4.8 ,2.3 ,27 ,36
C Suite and Boardroom Dynamics ,Spring 2016 ,"Patel, Homi" ,MKTG-940-0 (81) ,MKTG ,Evanston ,Mon 6:30PM - 9:30PM ,5.0 ,5.2 ,5.0 ,4.8 ,5.0 ,5.4 ,2.3 ,25 ,39
Analytics for Strategy ,Spring 2016 ,"Dranove, David" ,STRT-469-0 (61) ,STRT ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,5.0 ,5.2 ,5.4 ,5.7 ,4.7 ,5.0 ,3.3 ,56 ,60
Supply Chain Management ,Spring 2016 ,"Bassamboo, Achal" ,OPNS-455-0 (61) ,OPNS ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,5.0 ,5.2 ,5.3 ,5.1 ,5.3 ,5.4 ,2.8 ,43 ,59
Leading the Strategic Change Process ,Spring 2016 ,"Hirsch, Paul" ,MORS-452-0 (76) ,MORS ,Chicago ,Sat 1:30PM - 4:30PM ,5.0 ,5.1 ,5.4 ,5.1 ,5.1 ,5.4 ,2.9 ,19 ,33
Marketing Strategy for Growth and Defense ,Spring 2016 ,"Calkins, Timothy" ,MKTG-466-0 (61) ,MKTG ,Evanston ,Mon/Thu 8:30AM - 10:00AM ,5.0 ,5.1 ,5.1 ,4.7 ,4.7 ,5.3 ,3.1 ,41 ,63
Corporate Innovation and New Ventures ,Spring 2016 ,"DeBiase, Dean" ,KIEI-903-0 (30) ,KIEI ,Chicago ,Mon 6:00PM - 9:00PM ,5.0 ,5.1 ,5.2 ,5.2 ,4.7 ,5.5 ,3.8 ,24 ,30
Kellogg Innovation Network (KIN) Challenge ,Spring 2016 ,"Wolcott, Robert" ,KIEI-920-0 (91) ,KIEI ,Evanston ,Thu 6:30PM - 9:30PM ,5.0 ,5.0 ,5.0 ,5.0 ,5.0 ,5.0 ,5.0 ,1 ,17
"Leadership: Power, Politics and Talk" ,Spring 2016 ,"Wiley-Little, Anise" ,KACI-469-5 (80B) ,KACI ,Evanston ,Thu 9:00AM - 10:15AM ,5.0 ,5.0 ,5.0 ,4.6 ,4.6 ,4.7 ,2.3 ,7 ,14
"Wall Street, Hedge Funds and Private Equity" ,Spring 2016 ,"Stowell, David" ,FINC-931-0 (81) ,FINC ,Evanston ,Mon 6:30PM - 9:30PM ,5.0 ,5.0 ,5.1 ,4.8 ,4.7 ,5.5 ,2.9 ,27 ,29
Private Equity Lab ,Spring 2016 ,"Stowell, David" ,FINC-939-0 (61) ,FINC ,Evanston ,Wed 03/30/2016 |Wed 06/01/2016  ,5.0 ,5.0 ,4.9 ,4.8 ,4.5 ,4.9 ,6.0 ,9 ,22
Topics in Quantitative Marketing ,Spring 2016 ,"McShane, Blake" ,MKTG-552-0 (21) ,MKTG ,Evanston ,Tue 2:00PM - 5:00PM ,5.0 ,5.0 ,6.0 ,6.0 ,5.0 ,6.0 ,3.0 ,1 ,5
Macroeconomics ,Spring 2016 ,"Eichenbaum, Martin" ,MECNX-450-0 (103) ,MECNX ,Off Campus ,TBA  ,5.0 ,5.0 ,5.0 ,5.0 ,6.0 ,5.0 ,4.0 ,1 ,34
Operations Management ,Spring 2016 ,"Bassamboo, Achal" ,OPNS-430-0 (61) ,OPNS ,Evanston ,Mon/Thu 8:30AM - 10:00AM ,4.9 ,5.4 ,5.3 ,5.1 ,4.9 ,5.3 ,2.7 ,65 ,65
Operations Management ,Spring 2016 ,"Islegen, Ozge" ,OPNS-430-0 (71) ,OPNS ,Chicago ,Wed 6:00PM - 9:00PM ,4.9 ,5.4 ,5.4 ,5.3 ,5.0 ,5.3 ,3.4 ,45 ,55
Business Analytics II ,Spring 2016 ,"Deserranno, Erika" ,DECS-431-0 (71) ,DECS ,Chicago ,Tue 6:00PM - 9:00PM ,4.9 ,5.4 ,5.4 ,5.6 ,5.4 ,5.3 ,3.3 ,34 ,37
Macroeconomic Policy and Global Capital Markets ,Spring 2016 ,"Crouzet, Nicolas" ,FINC-941-0 (61) ,FINC ,Evanston ,Mon/Thu 8:30AM - 10:00AM ,4.9 ,5.3 ,5.3 ,5.2 ,5.8 ,5.6 ,3.0 ,26 ,31
Entrepreneurial Finance and Venture Capital ,Spring 2016 ,"Baker, Scott" ,FINC-445-0 (76) ,FINC ,Chicago ,Sat 9:00AM - 12:00PM ,4.9 ,5.2 ,5.4 ,5.5 ,5.0 ,5.3 ,3.6 ,18 ,27
Strategy Beyond Markets ,Spring 2016 ,"Persico, Nicola" ,KPPIX-441-0 (MW1) ,KPPIX ,Off Campus ,TBA  ,4.9 ,5.0 ,5.3 ,4.9 ,5.3 ,5.4 ,2.8 ,52 ,64
Capstone Course ,Spring 2016 ,"Darragh, Linda" ,STRTX-470-0 (100) ,STRTX ,Evanston ,TBA  ,4.9 ,5.0 ,4.6 ,4.5 ,4.7 ,4.8 ,2.9 ,8 ,55
Competitive Strategy and Industrial Structure ,Spring 2016 ,"Salant, Yuval" ,MECN-441-0 (63) ,MECN ,Evanston ,Mon/Thu 3:30PM - 5:00PM ,4.9 ,4.9 ,5.4 ,5.1 ,4.7 ,5.5 ,2.8 ,37 ,44
Competitive Strategy and Industrial Structure ,Spring 2016 ,"Salant, Yuval" ,MECN-441-0 (61) ,MECN ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,4.9 ,4.9 ,5.3 ,5.3 ,4.4 ,5.5 ,2.8 ,42 ,48
Negotiations Fundamentals ,Spring 2016 ,"Stephens, Nicole" ,MORS-472-5 (62) ,MORS ,Evanston ,Wed 1:30PM - 4:30PM ,4.9 ,4.8 ,5.3 ,5.0 ,4.0 ,4.6 ,2.3 ,32 ,34
Analytical Consulting Lab ,Spring 2016 ,"Walker, Russell" ,DECS-915-0 (62) ,DECS ,Evanston ,Wed 1:30PM - 3:00PM ,4.9 ,4.8 ,4.7 ,5.4 ,5.0 ,5.0 ,3.4 ,21 ,23
"Leadership: Power, Politics and Talk" ,Spring 2016 ,"Mehta, Shawna" ,KACI-469-5 (80D) ,KACI ,Evanston ,Fri 10:45AM - 12:00PM ,4.9 ,4.7 ,4.8 ,5.0 ,4.6 ,4.9 ,2.0 ,11 ,14
Negotiations Fundamentals ,Spring 2016 ,"Stephens, Nicole" ,MORS-472-5 (80) ,MORS ,Evanston ,Fri 1:30PM - 4:30PM ,4.9 ,4.6 ,5.3 ,4.7 ,3.7 ,4.7 ,2.6 ,29 ,34
Data Analytics Decisions ,Spring 2016 ,"Shapiro, Joel" ,KMCI-940-5 (80) ,KMCI ,Evanston ,Fri 1:30PM - 4:30PM ,4.8 ,5.3 ,5.0 ,5.3 ,4.0 ,4.5 ,2.5 ,4 ,7
Finance II ,Spring 2016 ,"Melzer, Brian" ,FINC-431-0 (62) ,FINC ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,4.8 ,5.3 ,5.3 ,5.5 ,5.0 ,5.6 ,3.3 ,53 ,62
Finance II ,Spring 2016 ,"Melzer, Brian" ,FINC-431-0 (61) ,FINC ,Evanston ,Mon/Thu 8:30AM - 10:00AM ,4.8 ,5.2 ,5.3 ,5.3 ,4.6 ,5.5 ,3.3 ,56 ,63
Sustainability Reporting and Analysis ,Spring 2016 ,"Finn, Mark" ,ACCT-459-5 (61) ,ACCT ,Evanston ,Tue 1:30PM - 4:30PM ,4.8 ,5.2 ,4.8 ,4.9 ,5.5 ,5.5 ,2.2 ,17 ,22
Retail Analytics and Pricing ,Spring 2016 ,"Gordon, Brett" ,MKTG-462-0 (61) ,MKTG ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,4.8 ,5.2 ,5.3 ,5.1 ,4.3 ,5.3 ,3.0 ,53 ,62
"Investment Banks, Hedge Funds & Private Equity" ,Spring 2016 ,"Stowell, David" ,FINCX-931-0 (MW1) ,FINCX ,Off Campus ,TBA  ,4.8 ,4.9 ,5.1 ,4.8 ,5.0 ,5.2 ,3.1 ,23 ,46
Persuasive Presentations ,Spring 2016 ,"Van Camp, Karen" ,KACI-450-0 (80) ,KACI ,Evanston ,Fri 1:30PM - 4:30PM ,4.8 ,4.8 ,5.0 ,4.5 ,4.3 ,4.6 ,2.5 ,24 ,35
Persuasive Presentations ,Spring 2016 ,"Van Camp, Karen" ,KACI-450-0 (91) ,KACI ,Evanston ,Tue 6:30PM - 9:30PM ,4.8 ,4.8 ,5.2 ,4.7 ,4.8 ,4.9 ,2.9 ,28 ,35
Competitive Strategy and Industrial Structure ,Spring 2016 ,"Salant, Yuval" ,MECN-441-0 (62) ,MECN ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,4.8 ,4.8 ,5.4 ,5.1 ,4.4 ,5.4 ,2.8 ,39 ,48
Derivatives Markets ,Spring 2016 ,"Todorov, Viktor" ,FINC-465-0 (61) ,FINC ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,4.8 ,4.8 ,5.1 ,5.4 ,4.9 ,4.8 ,2.8 ,13 ,17
Negotiations Fundamentals ,Spring 2016 ,"Stephens, Nicole" ,MORS-472-5 (61) ,MORS ,Evanston ,Wed 1:30PM - 4:30PM ,4.8 ,4.6 ,5.5 ,5.1 ,4.1 ,4.9 ,2.6 ,35 ,36
Creativity as a Business Tool ,Spring 2016 ,"Schonthal, David" ,MORS-955-5 (61) ,MORS ,Evanston ,Mon 1:30PM - 4:30PM ,4.7 ,5.3 ,4.7 ,4.4 ,3.7 ,4.7 ,2.5 ,35 ,50
Technology in the Age of Analytics ,Spring 2016 ,"Katakam, Raghu" ,KMCI-930-5 (61) ,KMCI ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,4.7 ,5.1 ,5.5 ,4.7 ,4.9 ,5.3 ,2.3 ,15 ,22
Managerial Accounting ,Spring 2016 ,"Lyle, Matthew" ,ACCT-431-0 (61) ,ACCT ,Evanston ,Tue/Fri 10:30AM - 12:00PM ,4.7 ,5.0 ,5.2 ,4.7 ,4.6 ,4.6 ,2.3 ,40 ,50
Financial Reporting and Analysis ,Spring 2016 ,"Wang, Clare" ,ACCT-451-0 (61) ,ACCT ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,4.7 ,4.8 ,5.2 ,5.0 ,4.9 ,5.4 ,2.8 ,25 ,32
International Growth Lab ,Spring 2016 ,"Sirkin, Harold" ,INTL-931-0 (61) ,INTL ,Evanston ,Mon 7:00AM - 10:00AM ,4.7 ,4.0 ,4.3 ,5.0 ,5.7 ,4.7 ,3.0 ,3 ,9
Intellectual Property for Entrepreneurs ,Spring 2016 ,"Conley, James" ,KIEI-935-5 (81) ,KIEI ,Evanston ,Wed 6:30PM - 9:30PM ,4.6 ,5.3 ,5.0 ,4.9 ,4.5 ,5.4 ,2.3 ,8 ,23
Social Dynamics and Network Analytics ,Spring 2016 ,"Pah, Adam" ,MORS-945-0 (80) ,MORS ,Evanston ,Fri 1:30PM - 4:30PM ,4.6 ,5.0 ,5.0 ,4.6 ,4.7 ,4.8 ,2.7 ,27 ,41
Game Theory and Strategic Decisions ,Spring 2016 ,"Weber, Robert" ,DECS-452-0 (30) ,DECS ,Chicago ,Thu 6:00PM - 9:00PM ,4.6 ,5.0 ,5.3 ,5.4 ,5.0 ,5.3 ,2.9 ,32 ,57
"Leadership: Power, Politics and Talk" ,Spring 2016 ,"Carroll, Shana" ,KACI-469-5 (80F) ,KACI ,Evanston ,Mon 8:30PM - 9:45PM ,4.6 ,4.8 ,4.8 ,4.8 ,4.7 ,4.9 ,2.6 ,11 ,15
Corporate Social Innovation ,Spring 2016 ,"Saul, Jason" ,KPPI-917-5 (61) ,KPPI ,Evanston ,Tue 1:30PM - 4:30PM ,4.6 ,4.7 ,4.8 ,4.5 ,4.8 ,5.0 ,2.1 ,24 ,38
Mergers and Acquisitions: The Art of the Deal ,Spring 2016 ,"Angelson, Mark" ,BLAW-925-0 (61) ,BLAW ,Evanston ,Wed 3:15PM - 6:15PM ,4.6 ,4.5 ,4.6 ,4.4 ,4.0 ,5.0 ,1.8 ,48 ,59
Digital Marketing Analytics ,Spring 2016 ,"Cutler, Jennifer" ,MKTG-955-0 (61) ,MKTG ,Evanston ,Mon/Thu 8:30AM - 10:00AM ,4.6 ,4.4 ,5.2 ,4.6 ,4.2 ,4.7 ,2.9 ,36 ,43
Digital Marketing Analytics ,Spring 2016 ,"Cutler, Jennifer" ,MKTG-955-0 (62) ,MKTG ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,4.6 ,4.4 ,5.1 ,4.9 ,4.1 ,5.2 ,2.5 ,34 ,43
eCommerce and Digital Marketing ,Spring 2016 ,"Khan, Romana" ,MKTG-957-0 (62) ,MKTG ,Evanston ,Mon/Thu 3:30PM - 5:00PM ,4.6 ,3.7 ,4.9 ,4.7 ,3.8 ,5.1 ,2.6 ,15 ,20
Implementing Project Management ,Spring 2016 ,"Boepple, Jack" ,OPNS-917-0 (76) ,OPNS ,Chicago ,Sat 9:00AM - 12:00PM ,4.5 ,5.3 ,5.0 ,4.4 ,4.1 ,4.5 ,3.2 ,10 ,10
The Chief Marketing Officer in the Digital Age ,Spring 2016 ,"Carpenter, Gregory" ,MKTGX-954-0 (105) ,MKTGX ,Off Campus ,TBA  ,4.5 ,4.8 ,4.5 ,4.4 ,5.1 ,5.1 ,3.0 ,20 ,52
Strategy Beyond Markets ,Spring 2016 ,"Persico, Nicola" ,KPPI-441-0 (61) ,KPPI ,Evanston ,Tue/Fri 3:30PM - 5:00PM ,4.5 ,4.8 ,5.1 ,4.6 ,5.7 ,5.5 ,2.1 ,34 ,41
Managing Firms for Shareholders and Society: Thought Leadership Seminar ,Spring 2016 ,"Wieandt, Axel" ,FINC-484-5 (62) ,FINC ,Evanston ,Mon/Thu 3:30PM - 5:00PM ,4.5 ,4.8 ,5.1 ,5.3 ,5.8 ,5.2 ,2.6 ,10 ,10
International Business Strategy ,Spring 2016 ,"Levy, Philip" ,STRT-460-0 (76) ,STRT ,Chicago ,Sat 9:00AM - 12:00PM ,4.5 ,4.7 ,4.9 ,5.0 ,5.6 ,5.3 ,3.3 ,37 ,55
New Venture Development ,Spring 2016 ,"Darragh, Linda" ,KIEI-940-0 (61) ,KIEI ,Evanston ,Tue 1:30PM - 4:30PM ,4.5 ,4.6 ,4.7 ,4.6 ,4.1 ,5.0 ,4.2 ,21 ,31
New Venture Discovery ,Spring 2016 ,"Vehovsky, Gabe" ,KIEI-462-0 (81) ,KIEI ,Evanston ,Tue 6:30PM - 9:30PM ,4.5 ,4.5 ,4.9 ,5.2 ,3.9 ,4.7 ,3.2 ,17 ,19
Asset Management Practicum I ,Spring 2016 ,"Vincent, Linda" ,FINC-933-0 (81) ,FINC ,Evanston ,Wed 6:30PM - 9:30PM ,4.5 ,4.5 ,5.3 ,5.4 ,4.3 ,4.9 ,3.5 ,8 ,13
International Real Estate ,Spring 2016 ,"Benmelech, Efraim" ,REAL-922-5 (81) ,REAL ,Evanston ,Thu 6:30PM - 9:30PM ,4.5 ,4.4 ,4.5 ,4.9 ,5.7 ,5.2 ,3.4 ,10 ,10
Finance I ,Spring 2016 ,"Milbradt, Konstantin" ,FINC-430-0 (76) ,FINC ,Chicago ,Sat 1:30PM - 4:30PM ,4.5 ,4.4 ,5.1 ,4.8 ,4.6 ,4.7 ,3.4 ,45 ,60
