CourseTitle ,Term ,Faculty ,CourseSection ,Phase ,Area ,Campus ,Meeting Pattern ,Bids ,Closing Cost ,Seats Available ,Total seats ,Enrolled ,Program ,WaitList ,OpenSeats
Financial Decisions ,Summer 2019 ,"Benmelech, Efraim" ,FINC-442-0 (81) ,Summer 2019 Bidding Phase I ,FINC ,Chicago ,Thu 6:00PM - 9:00PM ,2 ,0 ,7 ,7 ,2 ,Weekend ,0 ,5
Financial Decisions ,Summer 2019 ,"Benmelech, Efraim" ,FINC-442-0 (81) ,Summer 2019 Bidding Phase II ,FINC ,Chicago ,Thu 6:00PM - 9:00PM ,1 ,0 ,6 ,7 ,1 ,Weekend ,0 ,5
Leadership and Crisis Management ,Summer 2019 ,"Feddersen, Timothy" ,KPPI-440-5 (81) ,Summer 2019 Bidding Phase I ,KPPI ,Chicago ,Sun 8:30AM - 5:00PM ,27 ,0 ,40 ,40 ,27 ,Evening ,0 ,13
Leadership and Crisis Management ,Summer 2019 ,"Feddersen, Timothy" ,KPPI-440-5 (81) ,Summer 2019 Bidding Phase II ,KPPI ,Chicago ,Sun 8:30AM - 5:00PM ,4 ,0 ,13 ,40 ,4 ,Evening ,0 ,9
Leadership and Crisis Management ,Summer 2019 ,"Feddersen, Timothy" ,KPPI-440-5 (81) ,Summer 2019 Bidding Phase I ,KPPI ,Chicago ,Sun 8:30AM - 5:00PM ,21 ,0 ,25 ,25 ,21 ,Weekend ,0 ,4
Leadership and Crisis Management ,Summer 2019 ,"Feddersen, Timothy" ,KPPI-440-5 (81) ,Summer 2019 Bidding Phase II ,KPPI ,Chicago ,Sun 8:30AM - 5:00PM ,2 ,0 ,4 ,25 ,2 ,Weekend ,0 ,2
Marketing Management ,Summer 2019 ,"Maoz, Eyal" ,MKTG-430-0 (71) ,Summer 2019 Bidding Phase I ,MKTG ,Chicago ,Sat 9:00AM - 12:00PM ,27 ,0 ,65 ,65 ,27 ,Weekend ,0 ,38
Marketing Management ,Summer 2019 ,"Maoz, Eyal" ,MKTG-430-0 (71) ,Summer 2019 Bidding Phase II ,MKTG ,Chicago ,Sat 9:00AM - 12:00PM ,4 ,0 ,38 ,65 ,4 ,Weekend ,0 ,34
Marketing Strategy for Growth and Defense ,Summer 2019 ,"Krishnamurthi, Lakshman" ,MKTG-466-0 (81) ,Summer 2019 Bidding Phase I ,MKTG ,Chicago ,Sat 9:00AM - 12:00PM ,13 ,0 ,15 ,15 ,13 ,Evening ,0 ,2
Capital Markets ,Summer 2019 ,"Braun, Phillip" ,FINC-950-0 (81) ,Summer 2019 Bidding Phase I ,FINC ,Chicago ,Sat 9:00AM - 12:00PM ,27 ,0 ,45 ,45 ,27 ,Weekend ,0 ,18
Capital Markets ,Summer 2019 ,"Braun, Phillip" ,FINC-950-0 (81) ,Summer 2019 Bidding Phase II ,FINC ,Chicago ,Sat 9:00AM - 12:00PM ,2 ,0 ,21 ,45 ,2 ,Weekend ,0 ,19
Capital Markets ,Summer 2019 ,"Braun, Phillip" ,FINC-950-0 (81) ,Summer 2019 Bidding Phase I ,FINC ,Chicago ,Sat 9:00AM - 12:00PM ,11 ,0 ,20 ,20 ,11 ,Evening ,0 ,9
Capital Markets ,Summer 2019 ,"Braun, Phillip" ,FINC-950-0 (81) ,Summer 2019 Bidding Phase II ,FINC ,Chicago ,Sat 9:00AM - 12:00PM ,0 ,0 ,10 ,20 ,0 ,Evening ,0 ,10
Marketing Strategy for Growth and Defense ,Summer 2019 ,"Krishnamurthi, Lakshman" ,MKTG-466-0 (81) ,Summer 2019 Bidding Phase I ,MKTG ,Chicago ,Sat 9:00AM - 12:00PM ,26 ,0 ,35 ,35 ,26 ,Weekend ,0 ,9
Marketing Strategy for Growth and Defense ,Summer 2019 ,"Krishnamurthi, Lakshman" ,MKTG-466-0 (81) ,Summer 2019 Bidding Phase II ,MKTG ,Chicago ,Sat 9:00AM - 12:00PM ,7 ,0 ,9 ,34 ,7 ,Weekend ,0 ,2
Leadership in Organizations ,Summer 2019 ,"Colyvas, Jeannette" ,MORS-430-0 (71) ,Summer 2019 Bidding Phase I ,MORS ,Chicago ,Sat 9:00AM - 12:00PM ,19 ,0 ,65 ,65 ,19 ,Weekend ,0 ,46
Leadership in Organizations ,Summer 2019 ,"Colyvas, Jeannette" ,MORS-430-0 (71) ,Summer 2019 Bidding Phase II ,MORS ,Chicago ,Sat 9:00AM - 12:00PM ,2 ,0 ,47 ,65 ,2 ,Weekend ,0 ,45
Intellectual Capital Management ,Summer 2019 ,"Conley, James" ,STRT-441-0 (81) ,Summer 2019 Bidding Phase I ,STRT ,Chicago ,Sat 9:00AM - 12:00PM ,7 ,0 ,20 ,20 ,7 ,Evening ,0 ,13
Intellectual Capital Management ,Summer 2019 ,"Conley, James" ,STRT-441-0 (81) ,Summer 2019 Bidding Phase II ,STRT ,Chicago ,Sat 9:00AM - 12:00PM ,2 ,0 ,15 ,20 ,2 ,Evening ,0 ,13
Intellectual Capital Management ,Summer 2019 ,"Conley, James" ,STRT-441-0 (81) ,Summer 2019 Bidding Phase I ,STRT ,Chicago ,Sat 9:00AM - 12:00PM ,21 ,0 ,45 ,45 ,21 ,Weekend ,0 ,24
Intellectual Capital Management ,Summer 2019 ,"Conley, James" ,STRT-441-0 (81) ,Summer 2019 Bidding Phase II ,STRT ,Chicago ,Sat 9:00AM - 12:00PM ,3 ,0 ,25 ,45 ,3 ,Weekend ,0 ,22
"Growing Businesses, Growing People" ,Summer 2019 ,"Khosla, Sanjay" ,MKTG-935-5 (81) ,Summer 2019 Bidding Phase I ,MKTG ,Chicago ,Sat 1:30PM - 4:30PM ,24 ,0 ,45 ,45 ,24 ,Weekend ,0 ,21
"Growing Businesses, Growing People" ,Summer 2019 ,"Khosla, Sanjay" ,MKTG-935-5 (81) ,Summer 2019 Bidding Phase II ,MKTG ,Chicago ,Sat 1:30PM - 4:30PM ,7 ,0 ,22 ,45 ,7 ,Weekend ,0 ,15
Finance I ,Summer 2019 ,"Ofer, Aharon" ,FINC-430-0 (71) ,Summer 2019 Bidding Phase I ,FINC ,Chicago ,Sat 1:30PM - 4:30PM ,35 ,0 ,65 ,65 ,35 ,Weekend ,0 ,30
Finance I ,Summer 2019 ,"Ofer, Aharon" ,FINC-430-0 (71) ,Summer 2019 Bidding Phase II ,FINC ,Chicago ,Sat 1:30PM - 4:30PM ,4 ,0 ,32 ,65 ,4 ,Weekend ,0 ,28
Accounting For Decision Making ,Summer 2019 ,"Yoon, Aaron" ,ACCT-430-0 (71) ,Summer 2019 Bidding Phase I ,ACCT ,Chicago ,Sat 1:30PM - 4:30PM ,15 ,0 ,63 ,65 ,15 ,Weekend ,0 ,48
Accounting For Decision Making ,Summer 2019 ,"Yoon, Aaron" ,ACCT-430-0 (71) ,Summer 2019 Bidding Phase II ,ACCT ,Chicago ,Sat 1:30PM - 4:30PM ,2 ,0 ,48 ,65 ,2 ,Weekend ,0 ,46
"Growing Businesses, Growing People" ,Summer 2019 ,"Khosla, Sanjay" ,MKTG-935-5 (81) ,Summer 2019 Bidding Phase I ,MKTG ,Chicago ,Sat 1:30PM - 4:30PM ,17 ,0 ,20 ,20 ,17 ,Evening ,0 ,3
Competitive Strategy and Industrial Structure ,Summer 2019 ,"Saraniti, Brett" ,MECN-441-0 (82) ,Summer 2019 Bidding Phase I ,MECN ,Chicago ,Sat 1:30PM - 4:30PM ,27 ,0 ,45 ,45 ,28 ,Weekend ,0 ,17
Competitive Strategy and Industrial Structure ,Summer 2019 ,"Saraniti, Brett" ,MECN-441-0 (82) ,Summer 2019 Bidding Phase II ,MECN ,Chicago ,Sat 1:30PM - 4:30PM ,2 ,0 ,21 ,45 ,2 ,Weekend ,0 ,19
Competitive Strategy and Industrial Structure ,Summer 2019 ,"Saraniti, Brett" ,MECN-441-0 (82) ,Summer 2019 Bidding Phase I ,MECN ,Chicago ,Sat 1:30PM - 4:30PM ,2 ,0 ,20 ,20 ,2 ,Evening ,0 ,18
Competitive Strategy and Industrial Structure ,Summer 2019 ,"Saraniti, Brett" ,MECN-441-0 (82) ,Summer 2019 Bidding Phase II ,MECN ,Chicago ,Sat 1:30PM - 4:30PM ,1 ,0 ,19 ,20 ,1 ,Evening ,0 ,18
Marketing Management ,Summer 2019 ,"Maoz, Eyal" ,MKTG-430-0 (61) ,Summer 2019 Bidding Phase I ,MKTG ,Chicago ,Mon 6:00PM - 9:00PM ,44 ,0 ,65 ,65 ,44 ,Evening ,0 ,21
Marketing Management ,Summer 2019 ,"Maoz, Eyal" ,MKTG-430-0 (61) ,Summer 2019 Bidding Phase II ,MKTG ,Chicago ,Mon 6:00PM - 9:00PM ,4 ,0 ,21 ,65 ,4 ,Evening ,0 ,17
Presentation Fundamentals ,Summer 2019 ,"Van Camp, Karen" ,KACI-452-5 (82) ,Summer 2019 Bidding Phase I ,KACI ,Chicago ,Mon 6:00PM - 9:00PM ,2 ,0 ,5 ,5 ,2 ,Weekend ,0 ,3
Presentation Fundamentals ,Summer 2019 ,"Van Camp, Karen" ,KACI-452-5 (82) ,Summer 2019 Bidding Phase II ,KACI ,Chicago ,Mon 6:00PM - 9:00PM ,1 ,0 ,4 ,5 ,1 ,Weekend ,0 ,3
Finance II ,Summer 2019 ,"Frydman, Carola" ,FINC-431-0 (81) ,Summer 2019 Bidding Phase I ,FINC ,Chicago ,Mon 6:00PM - 9:00PM ,28 ,0 ,38 ,38 ,28 ,Evening ,0 ,10
Finance II ,Summer 2019 ,"Frydman, Carola" ,FINC-431-0 (81) ,Summer 2019 Bidding Phase II ,FINC ,Chicago ,Mon 6:00PM - 9:00PM ,5 ,0 ,11 ,38 ,5 ,Evening ,0 ,6
